period start,symbol,price,change %,min,max,30d avg
2019-07-03T12:00:09+00:00,LYFT,$59.77,-1.37%,$59.39,$67.45,$63.63
2019-07-03T12:00:09+00:00,MSFT,$132.70,0.44%,$130.98,$135.85,$132.44
2019-07-03T12:00:09+00:00,UBER,$41.31,-6.60%,$41.31,$44.53,$43.77
2019-07-03T12:00:09+00:00,LYFT,$59.77,-1.37%,$59.39,$67.45,$63.63
2019-07-03T12:00:09+00:00,AMD,$29.86,-4.26%,$29.86,$34.39,$33.05
2019-07-03T12:00:09+00:00,META,$192.73,-2.27%,$192.73,$204.87,$201.03
2019-07-03T12:00:09+00:00,INTC,$44.01,2.02%,$42.46,$47.05,$44.09
2019-07-03T12:00:09+00:00,NVDA,$41.01,1.33%,$39.09,$44.42,$41.44
2019-07-03T12:00:09+00:00,TSLA,$15.59,-0.45%,$15.20,$17.66,$16.46
2019-08-02T12:00:09+00:00,LYFT,$48.97,-16.45%,$48.84,$62.10,$56.21
2019-08-02T12:00:09+00:00,MSFT,$132.95,1.04%,$127.07,$133.84,$131.31
2019-08-02T12:00:09+00:00,UBER,$32.57,-19.38%,$32.57,$42.97,$37.07
2019-08-02T12:00:09+00:00,LYFT,$48.97,-16.45%,$48.84,$62.10,$56.21
2019-08-02T12:00:09+00:00,AMD,$31.45,6.83%,$27.99,$34.19,$31.00
2019-08-02T12:00:09+00:00,META,$185.67,-1.77%,$177.75,$190.16,$184.92
2019-08-02T12:00:09+00:00,INTC,$42.44,-1.95%,$40.25,$43.28,$41.78
2019-08-02T12:00:09+00:00,NVDA,$41.69,4.02%,$36.99,$42.64,$39.42
2019-08-02T12:00:09+00:00,TSLA,$15.04,-3.73%,$14.09,$15.89,$15.18
2019-09-01T12:00:09+00:00,LYFT,$40.84,-10.08%,$40.84,$48.06,$46.24
2019-09-01T12:00:09+00:00,MSFT,$134.07,2.20%,$131.19,$136.04,$133.03
2019-09-01T12:00:09+00:00,UBER,$30.47,-0.75%,$30.29,$34.43,$33.10
2019-09-01T12:00:09+00:00,LYFT,$40.84,-10.08%,$40.84,$48.06,$46.24
2019-09-01T12:00:09+00:00,AMD,$28.99,-6.18%,$28.72,$31.50,$30.57
2019-09-01T12:00:09+00:00,META,$178.08,-2.36%,$177.10,$190.90,$187.69
2019-09-01T12:00:09+00:00,INTC,$46.13,9.68%,$42.05,$47.45,$45.82
2019-09-01T12:00:09+00:00,NVDA,$43.32,6.03%,$40.86,$45.88,$44.32
